run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
1,1056,20704716,121.926,-2.77891,82.7135,-3.02757,0.152062,39.2128,9,6,4,543.946,605.443,137.972,112.23,1,0,1,91.5755,0,0,0,0.410499,13,886,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20704698,182.277,2.49395,184.242,2.41731,0.499433,-1.96539,4,3,3,368.903,380.965,168.307,100.335,0,0,0,0,1,1,1,0.998147,4,854,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20704666,154.764,-2.42716,145.209,-2.77,0.58576,9.55584,8,3,1,247.898,341.88,166.358,45.7368,1,0,1,13.1124,2,1,1,0.998383,16,1729,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20704654,208.348,-2.60834,164.671,-2.69412,0.395167,43.6773,8,6,4,416.712,443.374,123.036,89.0434,1,2,3,125.497,2,1,0,0.916757,16,1479,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20704975,222.013,2.17607,37.1079,-3.03883,1,184.905,2,1,0,37.1079,56.4728,37.1079,19.3649,0,0,0,0,1,0,0,0.777919,24,1468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20705078,223.742,2.62218,119.982,2.44718,0.419174,103.759,7,4,3,286.234,334.933,99.2394,76.9909,1,0,1,52.1261,1,1,1,0.956835,8,804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20704763,172.473,-1.64647,202.723,-1.4646,0.198485,-30.2497,11,5,4,1021.36,1103.64,375.784,370.842,2,0,2,29.0832,3,1,0,0.948819,13,1661,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20705110,136.337,2.00851,157.445,1.91474,0.99106,-21.1083,10,3,2,158.866,271.747,69.8261,54.33,1,0,1,23.6414,2,0,0,0.842102,18,1548,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20704656,177.776,-3.05636,187.133,-2.7688,0.219474,-9.35709,11,7,7,852.644,932.528,199.525,170.18,1,2,3,58.3718,1,1,1,0.998824,19,1735,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20704723,175.197,-0.661757,45.525,-0.0576152,0.103224,129.672,7,5,4,441.031,472.955,135.354,119.734,0,1,1,125.702,2,2,1,0.956761,25,1797,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20705362,125.769,1.73402,123.604,0.884412,0.534401,2.16472,6,4,2,231.295,280.302,77.7439,65.3934,1,1,2,36.8036,1,0,0,0.702025,9,973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20705367,202.57,-3.06657,215.291,-3.03412,0.480153,-12.7213,7,5,2,448.38,483.732,186.757,146.25,0,0,0,0,3,2,2,0.992862,11,1324,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20705257,128.484,1.05434,155.727,0.973639,0.357442,-27.2427,10,7,5,435.67,487.09,107.252,72.2333,1,0,1,11.1454,6,2,2,0.993855,22,1552,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20705465,143.242,2.88829,81.6768,2.34925,0.430061,61.5655,9,4,1,189.919,288.523,74.974,48.3545,0,1,1,14.3641,1,1,1,0.997853,22,1367,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20705557,182.538,-0.326187,200.462,-0.602118,0.429099,-17.9244,13,6,4,467.17,560.105,133.979,117.612,1,0,1,15.1596,2,2,0,0.952922,6,1132,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20705631,97.2331,-2.66919,104.459,-3.13394,0.157189,-7.22576,15,5,3,664.543,833.962,296.46,206.1,1,0,1,14.055,3,0,0,0.798583,18,1675,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20705455,220.492,-0.96211,173.019,-0.985763,0.776401,47.4728,8,3,2,222.847,312.372,105.35,85.9638,0,1,1,16.1835,5,2,1,0.955175,17,1437,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20706005,181.688,0.127593,193.236,-0.0762714,0.505978,-11.5477,8,5,2,381.905,441.931,136.42,122.696,0,2,2,24.9482,1,1,1,0.9993,23,1687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20706061,220.25,-1.31877,177.418,-1.17116,0.919744,42.8325,7,2,2,192.899,298.831,118.668,74.2313,0,2,2,39.2883,2,0,0,0.685182,14,1112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1056,20706347,242.863,-2.81595,215.725,-2.87142,0.342467,27.1378,5,5,4,629.917,629.917,322.158,155.074,1,0,1,136.714,2,1,1,0.982663,10,753,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
