run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status,MET_fraction,N_objects,S_event_proxy,high_MET,high_multiplicity,B_event,B_event_z
1,4217,29836737,173.676,-2.17178,233.584,-2.38859,0.564344,-59.9074,8,3,3,413.903,500.375,270.455,85.9282,0,0,0,0.0,2,0,0,0.6548,20,1671,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.29507678663357,3,1.3862943611198906,0,0,-0.23989218632674308,-0.11180234948185461
1,4217,29836759,106.33,1.51775,53.5707,1.59143,0.143624,52.7594,6,3,2,372.99199999999996,412.324,186.262,153.722,0,0,0,0.0,0,0,0,0.484015,22,1625,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.22137232939569707,3,1.3862943611198906,0,0,-2.834116405227111,-0.7424726921819697
1,4217,29836713,139.94799999999998,-1.86837,132.10299999999998,-2.097,0.239567,7.8457300000000005,8,3,3,551.422,633.11,198.457,185.90400000000002,0,1,1,48.7489,1,0,0,0.7893140000000001,19,1540,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.20212891950835532,4,1.6094379124341003,0,0,2.1312966136042353,0.4646468418270704
1,4217,29836665,54.2746,-2.83785,2.49684,-2.4056900000000003,0.00719752,51.7778,7,2,2,346.903,418.461,174.19099999999997,172.71200000000002,0,1,1,70.7308,1,0,0,0.554383,10,1227,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.13495182227951033,3,1.3862943611198906,0,0,-3.689029109943159,-0.9503067277035767
1,4217,29836639,99.9596,2.48333,98.6848,2.28308,0.24156100000000003,1.27475,5,2,2,408.53,469.61800000000005,251.304,157.226,0,0,0,0.0,1,0,0,0.77952,21,1745,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1961955651302794,2,1.0986122886681096,0,0,-4.352111692306111,-1.1115057930775714
1,4217,29836769,186.62099999999998,1.63394,163.082,1.90388,0.363967,23.5396,6,4,3,448.06800000000004,478.879,220.483,136.884,1,0,1,23.6556,0,0,0,0.471333,10,968,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.2935728005361111,5,1.791759469228055,0,0,3.4580303812499382,0.7871832031087493
1,4217,29836774,327.401,1.7092900000000002,283.158,1.88523,0.5297609999999999,44.2426,10,6,2,534.501,617.049,221.3,141.192,0,1,1,20.3783,0,0,0,0.5327970000000001,14,1375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3794185202954681,7,2.0794415416798357,1,1,9.440542347182951,2.2415651506189755
1,4217,29836765,162.174,0.3257,209.93599999999998,3.0754200000000003,1.0,-47.7626,5,1,1,209.93599999999998,269.697,209.93599999999998,19.0583,0,0,0,0.0,1,0,0,0.567136,15,1476,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.43465465948379833,1,0.6931471805599453,0,0,-7.291499087455527,-1.8260872245210946
1,4217,29836771,101.11,-1.40002,144.244,1.41097,0.403467,-43.1339,5,3,3,357.51,390.52099999999996,246.66400000000002,57.7669,0,0,0,0.0,0,0,0,0.54179,11,1081,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.2199860754536356,3,1.3862943611198906,0,0,-1.9194709935304477,-0.5201173032216694
1,4217,29836818,145.017,1.64903,156.075,1.64956,0.291401,-11.058,6,5,4,535.6030000000001,546.705,279.276,89.7528,0,0,0,0.0,1,0,0,0.702218,16,1156,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.21275344033332352,5,1.791759469228055,0,0,4.133072897102987,0.9512897948630453
1,4217,29836814,90.0005,2.95818,134.243,-2.6803,0.304528,-44.2424,7,3,2,440.82300000000004,498.936,249.935,143.47,0,0,0,0.0,0,0,0,0.538155,21,1736,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.16923001710153837,3,1.3862943611198906,0,0,-2.6445859288316,-0.6963967787626046
