run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
1,90,89015,54.1149,-0.827934,33.2448,0.180797,1,20.8701,2,1,0,33.2448,46.939,33.2448,13.6941,0,0,0,0,0,0,0,0.356337,11,989,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,90,89016,54.16,-1.5725,25.1662,-1.79312,0.109057,28.9938,7,5,1,230.761,259.773,74.98,44.2552,0,0,0,0,0,0,0,0.526225,9,1137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,90,89021,19.2224,1.80849,0,0,0,19.2224,3,0,0,0,43.072,19.943,12.6985,0,0,0,0,1,0,0,0.606324,15,1407,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,90,89013,16.4095,-2.3383,16.7056,2.22599,0.170246,-0.296089,3,2,1,98.1259,108.583,57.2811,40.8448,0,0,0,0,1,1,0,0.870243,18,1325,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,90,89002,47.3879,-0.667159,34.0476,-0.360734,0.217386,13.3404,6,2,2,156.622,227.686,95.0215,61.6009,0,0,0,0,4,0,0,0.562029,18,1595,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,90,89009,90.795,-0.757472,116.091,-0.585003,0.182002,-25.2959,4,3,3,637.856,664.529,356.519,205.934,0,0,0,0,1,0,0,0.653641,16,1543,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,90,89026,12.0205,-2.72212,13.6623,1.35717,0.189708,-1.6418,4,2,0,72.0175,116.82,38.4316,33.5859,0,0,0,0,2,1,1,0.959007,10,779,3,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,90,89029,16.2002,1.66148,0,0,0,16.2002,1,0,0,0,10.5422,10.5422,0,0,0,0,0,1,0,0,0.671036,15,946,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1,90,89001,148.072,2.70993,172.604,2.80731,0.989244,-24.5321,7,3,2,174.481,229.087,87.2876,54.7626,0,0,0,0,0,0,0,0.497915,20,1760,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,90,89028,17.0586,-1.38655,5.72615,-1.13017,0.0201233,11.3325,7,5,3,284.554,315.329,79.8924,61.9258,0,0,0,0,1,0,0,0.573462,14,976,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,90,89022,27.9205,-2.88335,39.727,2.08885,0.193999,-11.8065,5,4,2,204.78,230.895,56.4532,54.2603,0,0,0,0,0,0,0,0.533592,17,1348,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,90,89020,27.0567,0.518625,41.2737,-0.0248418,0.385946,-14.217,5,2,1,106.941,142.371,62.7371,44.2044,0,0,0,0,1,0,0,0.711934,11,1370,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,90,89019,14.9663,-1.279,86.2267,-1.13082,0.929377,-71.2604,7,2,1,92.779,186.55,62.6828,30.0962,1,1,2,37.9617,2,1,0,0.877448,26,1882,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,90,89006,30.5851,2.43284,39.365,-2.55152,1,-8.77988,9,1,0,39.365,195.771,39.365,26.729,0,0,0,0,2,1,1,0.978756,22,1708,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,90,89011,21.4432,1.41805,38.0128,2.05834,0.188155,-16.5695,6,3,2,202.029,253.842,92.1013,73.8989,0,1,1,53.0978,2,0,0,0.552389,24,1765,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,90,89033,29.0036,2.42898,8.869,1.06047,0.12121,20.1346,3,2,0,73.1704,84.6492,40.619,32.5515,0,0,0,0,0,0,0,0.541519,14,1479,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
1,90,89012,12.9316,-3.10734,12.1559,0.0356122,0.123627,0.775716,8,2,0,98.3265,199.768,49.3022,49.0243,0,0,0,0,4,1,0,0.905864,20,1722,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,90,89034,36.1255,-2.89197,59.1687,-2.86071,0.471841,-23.0433,3,2,1,125.4,136.684,86.1763,39.2233,2,0,2,104.07,0,0,0,0.424101,12,891,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,90,89023,61.7067,2.75926,89.7931,2.42398,0.537246,-28.0864,6,4,1,167.136,195.815,55.2476,40.2294,1,0,1,45.8826,1,1,1,0.984149,23,1455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
