key,size_bytes,size_gb,uri,url,role,family,local_path,downloaded,actual_size_bytes
data_A.1lep.root,1581143872,1.581143872,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/Data-1lep/Data/data_A.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/Data-1lep/Data/data_A.1lep.root,real_data,real_data,D:\cern_open_data\atlas_nframe_q99_analogue\data_A.1lep.root,True,1581143872
mc_364165.Wmunu_PTV280_500_CVetoBVeto.1lep.root,551980290,0.55198029,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364165.Wmunu_PTV280_500_CVetoBVeto.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364165.Wmunu_PTV280_500_CVetoBVeto.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364165.Wmunu_PTV280_500_CVetoBVeto.1lep.root,True,551980290
mc_364166.Wmunu_PTV280_500_CFilterBVeto.1lep.root,356853475,0.356853475,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364166.Wmunu_PTV280_500_CFilterBVeto.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364166.Wmunu_PTV280_500_CFilterBVeto.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364166.Wmunu_PTV280_500_CFilterBVeto.1lep.root,True,356853475
mc_364167.Wmunu_PTV280_500_BFilter.1lep.root,333726236,0.333726236,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364167.Wmunu_PTV280_500_BFilter.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364167.Wmunu_PTV280_500_BFilter.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364167.Wmunu_PTV280_500_BFilter.1lep.root,True,333726236
mc_364168.Wmunu_PTV500_1000.1lep.root,748353243,0.748353243,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364168.Wmunu_PTV500_1000.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364168.Wmunu_PTV500_1000.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364168.Wmunu_PTV500_1000.1lep.root,True,748353243
mc_364169.Wmunu_PTV1000_E_CMS.1lep.root,543111019,0.543111019,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364169.Wmunu_PTV1000_E_CMS.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364169.Wmunu_PTV1000_E_CMS.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364169.Wmunu_PTV1000_E_CMS.1lep.root,True,543111019
mc_364179.Wenu_PTV280_500_CVetoBVeto.1lep.root,565587233,0.565587233,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364179.Wenu_PTV280_500_CVetoBVeto.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364179.Wenu_PTV280_500_CVetoBVeto.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364179.Wenu_PTV280_500_CVetoBVeto.1lep.root,True,565587233
mc_364180.Wenu_PTV280_500_CFilterBVeto.1lep.root,373145266,0.373145266,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364180.Wenu_PTV280_500_CFilterBVeto.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364180.Wenu_PTV280_500_CFilterBVeto.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364180.Wenu_PTV280_500_CFilterBVeto.1lep.root,True,373145266
mc_364181.Wenu_PTV280_500_BFilter.1lep.root,342342542,0.342342542,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364181.Wenu_PTV280_500_BFilter.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364181.Wenu_PTV280_500_BFilter.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364181.Wenu_PTV280_500_BFilter.1lep.root,True,342342542
mc_364182.Wenu_PTV500_1000.1lep.root,788244960,0.78824496,root://eospublic.cern.ch//eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364182.Wenu_PTV500_1000.1lep.root,https://eospublic.cern.ch/eos/opendata/atlas/OutreachDatasets/2020-08-19/MC-2-1lep/tmp2/mc_364182.Wenu_PTV500_1000.1lep.root,sm_mc,Wjets,D:\cern_open_data\atlas_nframe_q99_analogue\mc_364182.Wenu_PTV500_1000.1lep.root,True,788244960
