run,lumi,event,MET_pt,MET_phi,MHT_pt,MHT_phi,MHT_over_HT,MET_minus_MHT,N_jets_all,N_jets_30,N_jets_50,HT,jet_pt_sum,leading_jet_pt,subleading_jet_pt,N_muons,N_electrons,N_leptons,lepton_pt_sum,N_btags_loose,N_btags_medium,N_btags_tight,max_btag_discriminator,N_primary_vertices,packed_candidate_count,secondary_vertex_count,btag_discriminator_status,vertex_status,packed_candidate_status,secondary_vertex_status,HLT_MET_paths_any,HLT_HT_paths_any,HLT_Mu_paths_any,HLT_Ele_paths_any,pass_HBHENoiseFilter,pass_HBHENoiseIsoFilter,pass_goodVertices,pass_EcalDeadCellTriggerPrimitiveFilter,pass_BadPFMuonFilter,pass_globalSuperTightHalo2016Filter,trigger_filter_extraction_status,generator_weight,generator_weight_status
1,6546,4810582,76.6805,-1.89771,104.088,-1.59657,0.251776,-27.4078,6,3,3,413.417,464.652,150.537,138.846,1,5,6,345.914,1,0,0,0.555077,11,1189,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.148218,1
1,6546,4810579,27.5372,-2.74492,84.7383,2.61331,0.194384,-57.2012,10,6,4,435.932,521.611,153.351,81.4774,0,3,3,221.313,2,2,2,0.997408,20,1450,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.148218,1
1,6546,4810577,109.028,-2.17007,112.639,-1.98218,0.272906,-3.61028,9,6,3,412.738,465.386,149.093,76.8813,1,1,2,72.286,3,2,2,0.995748,24,1506,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.148218,1
1,6546,4810581,174.183,0.105382,174.423,0.0924624,0.539117,-0.240065,9,5,3,323.535,391.756,132.535,65.6392,1,2,3,126.557,1,0,0,0.624158,22,1463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.148218,1
1,6546,4810583,19.7626,3.08941,29.1606,-1.42009,0.0520269,-9.398,8,6,5,560.491,591.387,190.913,98.928,0,2,2,264.468,2,1,1,0.994696,12,979,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,-0.148218,1
1,6546,4810584,42.6139,0.206651,114.04,-1.98434,0.211246,-71.4257,6,6,4,539.843,539.843,186.574,106.59,3,0,3,268.606,2,2,1,0.980455,8,1213,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.148218,1
1,6546,4810585,31.6482,-2.96448,109.692,-1.87393,0.197727,-78.0439,10,7,4,554.766,607.824,156.94,126.776,0,2,2,97.5597,2,2,1,0.998517,21,1392,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.148218,1
1,6546,4810578,7.70172,2.97215,88.4069,-2.78141,0.517783,-80.7051,9,3,1,170.741,283.897,91.2574,44.9563,1,0,1,73.3849,2,2,2,0.997302,20,2045,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.148218,1
1,6546,4810586,57.9045,-1.77524,33.114,3.12699,0.273827,24.7905,7,2,1,120.931,209.807,76.6867,44.2438,1,1,2,93.8083,0,0,0,0.534816,13,1324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.148218,1
1,6546,4810593,65.2203,-2.48653,54.2081,-2.81478,0.132589,11.0122,7,5,4,408.843,450.115,118.362,101.709,1,0,1,17.7915,2,2,0,0.860279,15,1112,8,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.148218,1
